Title
The Shawshank Redemption
The Godfather
The Dark Knight
The Godfather Part II
12 Angry Men
Schindler's List
The Lord of the Rings: The Return of the King
Pulp Fiction
The Lord of the Rings: The Fellowship of the Ring
Il buono, il brutto, il cattivo
Forrest Gump
Fight Club
The Lord of the Rings: The Two Towers
Inception
The Empire Strikes Back
The Matrix
GoodFellas
One Flew Over the Cuckoo's Nest
Se7en
Shichinin no samurai
It's a Wonderful Life
The Silence of the Lambs
Cidade de Deus
Saving Private Ryan
La vita è bella
Interstellar
The Green Mile
Star Wars
Terminator 2: Judgment Day
Back to the Future
Sen to Chihiro no kamikakushi
The Pianist
Psycho
Gisaengchung
Léon
The Lion King
Gladiator
American History X
The Departed
The Usual Suspects
The Prestige
Whiplash
Casablanca
Seppuku
Hotaru no haka
The Intouchables
Modern Times
Once Upon a Time in the West
Rear Window
Nuovo Cinema Paradiso
Alien
City Lights
Apocalypse Now
Memento
Django Unchained
Raiders of the Lost Ark
WALL·E
The Lives of Others
Sunset Blvd.
Paths of Glory
The Shining
The Great Dictator
Avengers: Infinity War
Witness for the Prosecution
Aliens
Spider-Man: Into the Spider-Verse
American Beauty
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
The Dark Knight Rises
Oldeuboi
Inglourious Basterds
Amadeus
Coco
Toy Story
Joker
Braveheart
Das Boot
Avengers: Endgame
Mononoke-hime
Once Upon a Time in America
Good Will Hunting
Kimi no Na wa.
Requiem for a Dream
3 Idiots
Singin' in the Rain
Toy Story 3
Tengoku to jigoku
Capharnaüm
Star Wars: Episode VI - Return of the Jedi
Eternal Sunshine of the Spotless Mind
2001: A Space Odyssey
Reservoir Dogs
Jagten
Idi i smotri
Citizen Kane
Lawrence of Arabia
M - Eine Stadt sucht einen Mörder
Top Gun: Maverick
North by Northwest
Vertigo
Le fabuleux destin d'Amélie Poulain
The Apartment
Ikiru
A Clockwork Orange
Double Indemnity
Full Metal Jacket
Scarface
Hamilton
Incendies
To Kill a Mockingbird
The Sting
Heat
Up
Jodaeiye Nader az Simin
Taxi Driver
Metropolis
L.A. Confidential
Die Hard
Snatch
Indiana Jones and the Last Crusade
Ladri di biciclette
Taare Zameen Par
1917
Der Untergang
Per qualche dollaro in più
Dangal
Batman Begins
The Kid
Some Like It Hot
The Father
All About Eve
Green Book
The Wolf of Wall Street
Judgment at Nuremberg
Casino
Ran
Pan's Labyrinth
Unforgiven
The Truman Show
There Will Be Blood
The Sixth Sense
A Beautiful Mind
Shutter Island
Yôjinbô
Jurassic Park
The Treasure of the Sierra Madre
Monty Python and the Holy Grail
Spider-Man: No Way Home
The Great Escape
Rashômon
No Country for Old Men
Kill Bill: Vol. 1
The Thing
Finding Nemo
The Elephant Man
Chinatown
Raging Bull
V for Vendetta
Gone with the Wind
Inside Out
Lock, Stock and Two Smoking Barrels
Dial M for Murder
El secreto de sus ojos
Hauru no ugoku shiro
Three Billboards Outside Ebbing, Missouri
The Bridge on the River Kwai
Trainspotting
Prisoners
Warrior
Fargo
Gran Torino
Tonari no Totoro
Catch Me If You Can
Million Dollar Baby
Bacheha-Ye aseman
Blade Runner
The Gold Rush
Before Sunrise
12 Years a Slave
On the Waterfront
Harry Potter and the Deathly Hallows - Part 2
Klaus
Ben-Hur
Gone Girl
Smultronstället
The Grand Budapest Hotel
The General
The Third Man
In the Name of the Father
The Deer Hunter
Barry Lyndon
Le salaire de la peur
Hacksaw Ridge
Salinui chueok
Sherlock Jr.
Mr. Smith Goes to Washington
Relatos salvajes
Mad Max: Fury Road
Det sjunde inseglet
Mary and Max.
Room
How to Train Your Dragon
Monsters, Inc.
Jaws
The Big Lebowski
Dead Poets Society
Tôkyô monogatari
La passion de Jeanne d'Arc
Hotel Rwanda
Ford v Ferrari
Rocky
Platoon
Spotlight
Ratatouille
The Terminator
Stand by Me
Logan
Rush
Network
Pather Panchali
Into the Wild
Before Sunset
The Wizard of Oz
Groundhog Day
The Best Years of Our Lives
The Exorcist
The Incredibles
To Be or Not to Be
La battaglia di Algeri
La haine
Hachi: A Dog's Tale
Jai Bhim
Pirates of the Caribbean: The Curse of the Black Pearl
Babam ve Oglum
The Grapes of Wrath
Amores perros
Rebecca
Cool Hand Luke
Ah-ga-ssi
Les quatre cents coups
The Sound of Music
It Happened One Night
Persona
Life of Brian
The Iron Giant
Dersu Uzala
The Help
Aladdin
Gandhi
Dances with Wolves
